[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 融资名称 | 相关新闻 | 融资数额 | 交割日期 | 备注 | 融资单位 | 融资轮次 | 领投方 | 投后估值 | 跟投方 | 进度类型 | 融资负责人 |
| recvjYDkV9f6p1 | TAE Technologies_Series 12/进行中 |  | 已披露超过1.5亿美元 | 2025-06-03 00:00:00 | Axios报道为进行中融资，尚非最终关闭金额。 | [{"id":"recvk9ZmAnsYfO"}] | ["Series 12/进行中"] |  |  |  | ["进行中"] |  |
| recvjYDkV9JukA | Proxima Fusion_Pre-种子轮 |  | 750万欧元 | 2023-11-16 00:00:00 | 官方称为750万欧元pre-seed扩展。 | [{"id":"recvk9ZmAneH9R"}] | ["Pre-种子轮"] | [] |  |  | ["交割完成"] |  |
| recvjYDkV9OCVt | Proxima Fusion_种子轮 |  | 2000万欧元 | 2024-04-10 00:00:00 | 少于一年后完成A轮。 | [{"id":"recvk9ZmAneH9R"}] | ["种子轮"] | [{"id":"recvkiW31LWvHa"}] |  |  | ["交割完成"] |  |
| recvjYDkV9M0j8 | Focused Energy_A轮 |  | 8200万美元 | 2023-06-22 00:00:00 |  | [{"id":"recvk9ZmAn8Lqc"}] | ["A轮"] | [{"id":"recvjYJmz4vMCK"}] | 未披露 | [{"id":"recvjYJrI7RQSy"}] | ["交割完成"] |  |
| recvjYDkV9hnY1 | Marvel Fusion_A轮 |  | 7500万美元 | 2024-03-01 00:00:00 |  | [{"id":"recvk9ZmAnSJ38"}] | ["A轮"] | [{"id":"recvjXfgIx125I"}] | 未披露 | [{"id":"recvjXf9rcN5rb"}] | ["交割完成"] |  |
| recvjYDkV9xNMG | HB11 Energy_战略投资 |  | 2800万瑞郎 | 2025-09-01 00:00:00 |  | [{"id":"recvk9ZmAn7mSl"}] | ["战略投资"] | [{"id":"recvjXfFuG5g7p"}] | 未披露 | [{"id":"recvjXfEqpQnc8"}] | ["交割完成"] |  |
| recvjYDkV9WPvK | _Seed |  | 350万英镑 | 2024-02-01 00:00:00 | 原表数据暂未找到稳定官方链接，保留但标记待核验。 | [] | ["Seed"] |  |  |  | ["待核验"] |  |
| recvjYDkV9Vju5 | _Pre-seed |  | 200万英镑 | 2025-08-01 00:00:00 | 本轮机构检索未确认Norcott Fusion可靠公开来源；建议后续删除或更正。 | [] | ["Pre-seed"] |  |  |  | ["待核验"] |  |
| recvjYDkV98wr9 | Realta Fusion_种子轮 |  | 1200万美元 | 2023-05-31 00:00:00 | 900万美元seed + 300万美元DOE Fusion Development Program。 | [{"id":"recvk9ZmAnYco4"}] | ["种子轮"] | [{"id":"recvkiW31Lcdgj"}] |  | [{"id":"recvkiW31LhTmP"}] | ["交割完成"] |  |
| recvjYDkV99IYN | Phoenix Fusion_Seed |  | 350万英镑 | 2024-02-01 00:00:00 | 原表数据暂未找到稳定官方链接，保留但标记待核验。 | [{"id":"recvk9ZmAn2X8Z"}] | ["Seed"] |  |  |  | ["待核验"] |  |
| recvjYDkV9BZME | Norcott Fusion_Pre-seed |  | 200万英镑 | 2025-08-01 00:00:00 | 本轮机构检索未确认Norcott Fusion可靠公开来源；建议后续删除或更正。 | [{"id":"recvk9ZmAnwKg1"}] | ["Pre-seed"] |  |  |  | ["待核验"] |  |
| recvjYDkV9m4cX | Longview Fusion_种子轮 |  | 600万美元 | 2025-11-01 00:00:00 |  | [{"id":"recvk9ZmAn0jWX"}] | ["种子轮"] | [{"id":"recvjYJSJgN9EV"}] | 未披露 |  | ["交割完成"] |  |
| recvjYDkV9oRYL | Phoenix Fusion_Seed |  | 350万英镑 | 2024-02-01 00:00:00 | 原表数据暂未找到稳定官方链接，保留但标记待核验。 | [{"id":"recvk9ZmAn2X8Z"}] | ["Seed"] |  |  |  | ["待核验"] |  |
| recvjYDkV9cFCw | Norcott Fusion_Pre-seed |  | 200万英镑 | 2025-08-01 00:00:00 | 本轮机构检索未确认Norcott Fusion可靠公开来源；建议后续删除或更正。 | [{"id":"recvk9ZmAnwKg1"}] | ["Pre-seed"] |  |  |  | ["待核验"] |  |
| recvjYDkV94e93 | 中国聚变_天使轮 |  | 114.92亿元人民币 | 2025-07-01 00:00:00 |  | [{"id":"recvk9ZmAnIZQZ"}] | ["天使轮"] |  | 1500亿元人民币 |  | ["交割完成"] |  |
| recvjYDkV923ro | 星环聚能_A轮 |  | 10亿元人民币 | 2026-01-12 00:00:00 | 用于上海嘉定基地与NTST/后续工程验证。 | [{"id":"recvk9ZmAn2SOi"}] | ["A轮"] |  |  |  | ["交割完成"] |  |
| recvjYDkV9cJn6 | 星环聚能_A+轮 |  | 5亿元人民币 | 2026-05-07 00:00:00 | 公告称累计融资超20亿元。 | [{"id":"recvk9ZmAn2SOi"}] | ["A+轮"] |  |  |  | ["交割完成"] |  |
| recvjYDkV93yZo | 诺瓦聚变_天使轮 |  | 5亿元人民币 | 2025-08-01 00:00:00 | 证券研究资料披露，待补充公司官方链接。 | [{"id":"recvk9ZmAnVqD4"}] | ["天使轮"] |  |  |  | ["交割完成"] |  |
| recvjYDkV9Xzzm | 诺瓦聚变_天使+轮 |  | 7亿元人民币 | 2026-04-10 00:00:00 | 公告称累计融资达12亿元。 | [{"id":"recvk9ZmAnVqD4"}] | ["天使+轮"] | [{"id":"recvjXedEoVMop"}] |  |  | ["交割完成"] |  |
| recvjYDkV96bUR | 聚变新能_增资扩股 |  | 95亿元人民币 | 2024-07-01 00:00:00 |  | [{"id":"recvk9ZmAneg0r"}] | ["增资扩股"] | [{"id":"recvjXehxzvXZe"}] | 500亿元人民币 |  | ["交割完成"] |  |

Meta: count=50; has_more=true; record_scope=all_records; field_scope=all_fields
=== BATCH_END_0 ===
